record_date,platform,sku,rating,review_count,positive_sentiment_pct,top_pain_point,top_praise
2026-08-07,Blinkit,SLP-BAM-01,4.52,631,92.3,Bag was crinkled,Emergency neck relief
2026-08-08,Blinkit,SLP-BAM-01,4.53,644,92.5,Slight smell,Instant comfort
2026-08-09,Blinkit,SLP-BAM-01,4.53,658,92.6,Pillow weight,Lifesaver when neck sprained
2026-08-10,Blinkit,SLP-BAM-01,4.54,670,92.9,High price tag,Super soft bamboo cover
2026-08-11,Blinkit,SLP-BAM-01,4.54,682,93.0,Zipper feels small,Best quick commerce purchase
2026-08-12,Blinkit,SLP-BAM-01,4.55,695,93.3,Smell on open,Instant pillow upgrade
2026-08-13,Blinkit,SLP-BAM-01,4.55,709,93.4,No extra pillowcase,Genuine high quality
2026-08-14,Blinkit,SLP-BAM-01,4.55,722,93.5,Bulky delivery pouch,Slept like baby
2026-08-15,Blinkit,SLP-BAM-01,4.56,738,93.8,Firmness on day 1,Superfast delivery and premium feel
2026-08-16,Blinkit,SLP-BAM-01,4.56,755,94.0,Costly,Cured morning headache
2026-08-17,Blinkit,SLP-BAM-01,4.57,775,94.3,Packaging tape residue,Gamechanger for neck ache
2026-08-18,Blinkit,SLP-BAM-01,4.57,798,94.5,Needs airing,Quick delivery amazing quality
2026-08-19,Blinkit,SLP-BAM-01,4.58,825,94.8,Outer plastic pouch,Cannot sleep without this now
2026-08-06,Instamart,SLP-BAM-01,4.49,480,90.5,Outer packaging wet from ice pack,Delivered in 15 mins
2026-08-07,Instamart,SLP-BAM-01,4.49,491,90.7,Smell when unbagged,Great memory foam
2026-08-08,Instamart,SLP-BAM-01,4.50,503,91.0,Costly vs retail,Very comfortable neck curve
2026-08-09,Instamart,SLP-BAM-01,4.50,514,91.2,Firm feel,Woke up pain free
2026-08-10,Instamart,SLP-BAM-01,4.51,526,91.4,Zipper small,High quality cloth
2026-08-11,Instamart,SLP-BAM-01,4.51,539,91.6,Requires airing out,Immediate neck tension relief
2026-08-12,Instamart,SLP-BAM-01,4.52,551,91.8,Inner cover stitching,Soft contour
2026-08-13,Instamart,SLP-BAM-01,4.52,564,92.0,Slight chemical odor,Fast delivery when hurt neck
2026-08-14,Instamart,SLP-BAM-01,4.52,577,92.1,Price tag,Top grade memory foam
2026-08-15,Instamart,SLP-BAM-01,4.53,592,92.4,Bulky bag,Great support
2026-08-16,Instamart,SLP-BAM-01,4.53,608,92.6,Odor needs half day,Life saver pillow
2026-08-17,Instamart,SLP-BAM-01,4.54,625,92.9,Firmness,Premium soft fabric
2026-08-18,Instamart,SLP-BAM-01,4.54,644,93.1,Pouch zipper,No more stiffness
2026-08-19,Instamart,SLP-BAM-01,4.55,668,93.4,Carrying handle broke,Super comfortable contour
